"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"3510","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0.5,1)","[-Inf,141)","[242,299)",314,0,17
"3512","0","[670, Inf)","[700,750)","[-Inf,550)",200,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,114,17
"3514","0","[600,670)","[700,750)","[550,642)",250,"[1, Inf)","[141,228)","[242,299)",186,100,17
"3515","0","[600,670)","[700,750)","[650, Inf)",425,"[1, Inf)","[347, Inf)","[299, Inf)",123,100,17
"3517","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",8,35,17
"3519","1","[600,670)","[700,750)","[-Inf,550)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,17
"3520","1","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",68,100,17
"3522","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,105,17
"3526","0","[600,670)","[750,820)","[550,642)",275,"[0.5,1)","[141,228)","[131,242)",0,25,17
"3528","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",31,30,17
"3529","0","[600,670)","[700,750)","[-Inf,550)",300,"[0,0.5)","[141,228)","[-Inf,131)",160,382,17
"3530","0","[670, Inf)","[820, Inf)","[-Inf,550)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,84,17
"3533","1","[600,670)","[-Inf,700)","[550,642)",250,"[0.5,1)","[228,347)","[242,299)",238,299,17
"3534","0","[670, Inf)","[820, Inf)","[550,642)",300,"[0,0.5)","[141,228)","[131,242)",57,100,17
"3535","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,30,17
"3536","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[-Inf,141)","[-Inf,131)",75,25,17
"3539","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[242,299)",79,57,17
"3540","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",84,105,17
"3541","0","[600,670)","[820, Inf)","[-Inf,550)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,15,17
"3542","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",0,50,17
"3545","0","[600,670)","[820, Inf)","[-Inf,550)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",159,158,17
"3549","0","[670, Inf)","[820, Inf)","[550,642)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,17
"3553","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",55,31,17
"3555","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[141,228)","[131,242)",43,25,17
"3556","0","[600,670)","[750,820)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",0,40,17
"3558","1","[600,670)","[700,750)","[650, Inf)",800,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,17
"3560","1","[600,670)","[820, Inf)","[-Inf,550)",350,"[0.5,1)","[141,228)","[131,242)",0,50,17
"3561","0","[670, Inf)","[750,820)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,11,17
"3564","0","[670, Inf)","[820, Inf)","[650, Inf)",200,"[0,0.5)","[-Inf,141)","[-Inf,131)",92,42,17
"3566","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",26,25,17
"3567","0","[600,670)","[700,750)","[550,642)",400,"[1, Inf)","[-Inf,141)","[299, Inf)",292,30,17
"3568","0","[600,670)","[820, Inf)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,25,17
"3569","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",0,25,17
"3571","1","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[299, Inf)",12,31,17
"3572","0","[670, Inf)","[700,750)","[550,642)",400,"[0.5,1)","[228,347)","[299, Inf)",74,50,17
"3574","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",128,124,17
"3575","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[141,228)","[-Inf,131)",36,208,17
"3578","0","[600,670)","[700,750)","[650, Inf)",275,"[1, Inf)","[228,347)","[242,299)",18,30,17
"3580","0","[600,670)","[750,820)","[650, Inf)",275,"[0.5,1)","[228,347)","[131,242)",0,25,17
"3582","0","[670, Inf)","[750,820)","[650, Inf)",275,"[0.5,1)","[-Inf,141)","[131,242)",182,7,17
"3583","0","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[242,299)",46,60,17
"3584","1","[600,670)","[750,820)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",34,50,17
"3586","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[141,228)","[-Inf,131)",145,325,17
"3587","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,25,17
"3589","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",45,60,17
"3590","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0.5,1)","[228,347)","[242,299)",0,50,17
"3591","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",100,150,17
"3593","0","[600,670)","[750,820)","[550,642)",275,"[0.5,1)","[141,228)","[242,299)",63,25,17
"3596","0","[600,670)","[750,820)","[650, Inf)",275,"[0.5,1)","[141,228)","[131,242)",39,25,17
"3597","0","[670, Inf)","[750,820)","[550,642)",275,"[0.5,1)","[141,228)","[131,242)",51,45,17
"3598","0","[600,670)","[700,750)","[-Inf,550)",200,"[1, Inf)","[141,228)","[131,242)",58,25,17
